time;true_x_rob0; true_y_rob0; true_heading_rob0
8.01595;-2.41037; 0.511995; 3.10658
8.03195;-2.41044; 0.514004; 3.10658
8.04795;-2.41051; 0.516012; 3.10658
8.06395;-2.41058; 0.518021; 3.10657
8.07995;-2.41065; 0.520029; 3.10657
8.09595;-2.41072; 0.522038; 3.10657
8.11195;-2.41079; 0.524046; 3.10657
8.12795;-2.41086; 0.526055; 3.10657
8.14395;-2.41093; 0.528063; 3.10657
8.15995;-2.411; 0.530071; 3.10657
8.17595;-2.41107; 0.53208; 3.10657
8.19195;-2.41114; 0.534088; 3.10657
8.20795;-2.41121; 0.536097; 3.10657
8.22395;-2.41128; 0.538105; 3.10658
8.23995;-2.41135; 0.540114; 3.10658
8.25595;-2.41142; 0.542122; 3.10658
8.27195;-2.41149; 0.544131; 3.10658
8.28795;-2.41156; 0.546139; 3.10658
8.30395;-2.41163; 0.548147; 3.10658
8.31995;-2.4117; 0.550156; 3.10658
8.33595;-2.41177; 0.552164; 3.10657
8.35195;-2.41184; 0.554172; 3.10657
8.36795;-2.41191; 0.556181; 3.10657
8.38395;-2.41198; 0.558189; 3.10657
8.39995;-2.41206; 0.560197; 3.10656
8.41595;-2.41213; 0.562206; 3.10656
8.43195;-2.4122; 0.564214; 3.10656
8.44795;-2.41227; 0.566222; 3.10655
8.46395;-2.41234; 0.568231; 3.10655
8.47995;-2.41241; 0.570239; 3.10655
8.49595;-2.41248; 0.572248; 3.10655
8.51195;-2.41255; 0.574256; 3.10654
8.52795;-2.41262; 0.576265; 3.10654
8.54395;-2.41269; 0.578273; 3.10654
8.55995;-2.41276; 0.580282; 3.10654
8.57595;-2.41283; 0.58229; 3.10654
8.59195;-2.4129; 0.584298; 3.10654
8.60795;-2.41297; 0.586307; 3.10653
8.62395;-2.41304; 0.588315; 3.10653
8.63995;-2.41311; 0.590324; 3.10653
8.65595;-2.41318; 0.592332; 3.10653
8.67195;-2.41325; 0.594341; 3.10654
8.68795;-2.41332; 0.596349; 3.10654
8.70395;-2.41339; 0.598358; 3.10654
8.71994;-2.41346; 0.600366; 3.10654
8.73594;-2.41353; 0.602374; 3.10654
8.75194;-2.4136; 0.604383; 3.10655
8.76794;-2.41367; 0.606391; 3.10655
8.78394;-2.41375; 0.6084; 3.10655
8.79994;-2.41382; 0.610408; 3.10656
8.81594;-2.41389; 0.612417; 3.10656
8.83194;-2.41396; 0.614425; 3.10656
8.84794;-2.41403; 0.616433; 3.10656
8.86394;-2.4141; 0.618442; 3.10657
8.87994;-2.41417; 0.62045; 3.10657
8.89594;-2.41424; 0.622459; 3.10657
8.91194;-2.41431; 0.624467; 3.10658
8.92794;-2.41438; 0.626475; 3.10658
