time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
0.608;-1.95886; 0.00364281; -1.66016;-1.85642; 0.0892668; 0.79487;-1.86632; -0.0961577; 2.47808;-1.86021; 0.221482; -2.43535;-1.8667; -0.225978; -0.707458
0.624;-1.95728; 0.00378507; -1.66087;-1.85642; 0.0892693; 0.877406;-1.86631; -0.0961832; 2.40718;-1.85976; 0.222001; -2.40924;-1.86635; -0.22638; -0.74365
0.64;-1.9557; 0.00392869; -1.66148;-1.85636; 0.0893168; 0.956801;-1.8663; -0.096184; 2.33713;-1.85935; 0.222463; -2.3677;-1.86599; -0.226766; -0.793483
0.656;-1.95411; 0.00407325; -1.66208;-1.85628; 0.0893423; 1.02555;-1.86628; -0.0961845; 2.26717;-1.85891; 0.222907; -2.32612;-1.86561; -0.227135; -0.843408
0.672;-1.95253; 0.00421874; -1.66269;-1.85604; 0.0892066; 1.08631;-1.86626; -0.0961848; 2.19729;-1.85845; 0.223331; -2.28449;-1.86521; -0.227487; -0.893498
0.688;-1.95095; 0.00436516; -1.66329;-1.85575; 0.0890963; 1.14542;-1.86624; -0.0961849; 2.12751;-1.85797; 0.223734; -2.24286;-1.86476; -0.227837; -0.944631
0.704;-1.94937; 0.0045115; -1.66429;-1.85543; 0.0890046; 1.2006;-1.86622; -0.096185; 2.05783;-1.85748; 0.224114; -2.19368;-1.8644; -0.228093; -1.00324
0.72;-1.9478; 0.00465944; -1.66528;-1.85507; 0.0889261; 1.2542;-1.86619; -0.0961849; 1.98826;-1.85697; 0.224462; -2.14411;-1.86398; -0.228356; -1.06362
0.736;-1.94623; 0.00480897; -1.66627;-1.85472; 0.0888565; 1.31143;-1.86616; -0.0961849; 1.91885;-1.85647; 0.224769; -2.0936;-1.8635; -0.228618; -1.1259
0.752;-1.94466; 0.00496009; -1.66727;-1.85451; 0.088817; 1.37426;-1.86613; -0.0961848; 1.84966;-1.856; 0.225028; -2.0416;-1.863; -0.228843; -1.18852
